Section,Requirement ID,Requirement Name,Description,Priority,Business Rule,API Endpoint(s),Test Case(s),Status,Notes
Customer,CUS-001,Customer Registration,Register new customer with email and password,High,BR-CUS-001,POST /api/v1/auth/register,TC-CUS-001,Verified,Completed
Customer,CUS-002,Phone OTP Registration,Register new customer with phone OTP,High,BR-CUS-002,POST /api/v1/auth/login/otp,TC-CUS-002,Verified,Completed
Customer,CUS-003,Social Login Registration,Register with Google/Facebook/Apple,Medium,BR-CUS-013,POST /api/v1/auth/login/social,TC-CUS-003,Verified,Completed
Customer,CUS-004,Email/Password Login,Login with email and password,High,BR-CUS-004,POST /api/v1/auth/login,TC-CUS-010,Verified,Completed
Customer,CUS-005,Phone OTP Login,Login with phone one-time password,High,BR-CUS-004,POST /api/v1/auth/login/otp/verify,TC-CUS-011,Verified,Completed
Customer,CUS-006,Forgot Password,Request password reset via email,High,BR-CUS-006,POST /api/v1/auth/forgot-password,TC-CUS-008,Verified,Completed
Customer,CUS-007,MFA Verification,Multi-factor authentication verification,High,BR-CUS-015,POST /api/v1/auth/mfa/verify,TC-CUS-015,Verified,Completed
Customer,CUS-008,View Profile,Get current customer profile,High,BR-CUS-012,GET /api/v1/customers/me,TC-CUS-017,Verified,Completed
Customer,CUS-009,Update Profile,Update customer profile information,High,BR-CUS-012,PUT /api/v1/customers/me,TC-CUS-018,Verified,Completed
Customer,CUS-010,Add Delivery Address,Add new delivery address to address book,High,BR-CUS-023,POST /api/v1/customers/me/addresses,TC-CUS-023,Verified,Completed
Customer,CUS-011,Update Delivery Address,Update existing delivery address,High,BR-CUS-024,PUT /api/v1/customers/me/addresses/{id},TC-CUS-024,Verified,Completed
Customer,CUS-012,Delete Delivery Address,Remove delivery address from address book,High,BR-CUS-025,DELETE /api/v1/customers/me/addresses/{id},TC-CUS-025,Verified,Completed
Customer,CUS-013,GDPR Data Export,Request personal data export (Subject Access Request),High,BR-CUS-009,GET /api/v1/customers/me/export,TC-CUS-029,Verified,Completed
Customer,CUS-014,GDPR Account Deletion,Delete customer account (Right to be Forgotten),High,BR-CUS-010,DELETE /api/v1/customers/me,TC-CUS-030,Verified,Completed
